game,channel,platform,country,date,installs,cost,ad_revenue,revenue,roas_d0,roas_d1,roas_d3,roas_d7,roas_d14,roas_d30,roas_d60,roas_d90,retention_rate_d1,retention_rate_d2,retention_rate_d3,retention_rate_d7,retention_rate_d14,retention_rate_d30,level_1_events,level_5_events,level_10_events,level_15_events,level_20_events,level_25_events,level_30_events,level_40_events,level_50_events
Brain Tease,Influence Mobile,Android,United States,2025-01-09 00:00:00,77.0,78.0,46.76556409929051,58.45695512411313,0.749448142616835,0.8243929568785185,0.9742825854018855,1.1241722139252526,1.2740618424486194,1.49889628523367,1.8736203565420875,2.248344427850505,0.31,0.18,0.26,0.19,0.0,0.0,37.6,42.300000000000004,47.0,32.9,45.0,28.2,29.0,36.0,34.0
Brain Tease,Influence Mobile,Android,United States,2025-02-09 00:00:00,72.0,73.0,84.14605859320693,105.18257324150865,1.4408571676918993,1.5849428844610893,1.8731143179994691,2.161285751537849,2.449457185076229,2.8817143353837986,3.602142919229748,4.322571503075698,0.19,0.18,0.15,0.1,0.0,0.0,30.400000000000002,34.2,38.0,26.599999999999998,31.0,22.8,18.0,20.0,26.0
Brain Tease,Influence Mobile,Android,United States,2025-03-09 00:00:00,53.0,54.0,50.90656594350324,63.63320742937905,1.178392730173686,1.2962320031910548,1.5319105492257918,1.767589095260529,2.0032676412952664,2.356785460347372,2.945981825434215,3.535178190521058,0.19,0.11,0.08,0.08,0.0,0.0,18.400000000000002,20.7,23.0,16.099999999999998,23.0,13.799999999999999,18.0,16.0,30.0
Brain Tease,Influence Mobile,Android,United States,2025-04-09 00:00:00,80.0,80.0,65.17697158633241,81.47121448291551,1.018390181036444,1.1202291991400886,1.3239072353473773,1.527585271554666,1.7312633077619546,2.036780362072888,2.54597545259111,3.055170543109332,0.19,0.14,0.14,0.09,0.0,0.0,27.200000000000003,30.6,34.0,23.799999999999997,36.0,20.4,39.0,26.0,20.0
Brain Tease,Influence Mobile,Android,United States,2025-05-09 00:00:00,72.0,72.0,28.064008427381214,35.08001053422652,0.4872223685309238,0.5359446053840162,0.633389079090201,0.7308335527963857,0.8282780265025704,0.9744447370618476,1.2180559213273097,1.4616671055927715,0.18,0.1,0.11,0.07,0.0,0.0,29.6,33.300000000000004,37.0,25.9,38.0,22.2,34.0,29.0,15.0
Brain Tease,Influence Mobile,Android,United States,2025-06-09 00:00:00,65.0,65.0,25.334058068979047,31.667572586223805,0.48719342440344315,0.5359127668437875,0.6333514517244762,0.7307901366051648,0.8282288214858533,0.9743868488068863,1.2179835610086078,1.4615802732103296,0.15,0.08,0.14,0.14,0.0,0.0,32.800000000000004,36.9,41.0,28.7,23.0,24.599999999999998,15.0,24.0,18.0
Brain Tease,Influence Mobile,Android,United States,2025-07-09 00:00:00,81.0,81.0,23.95658168219919,29.945727102748986,0.3697003346018393,0.4066703680620233,0.48061043498239114,0.554550501902759,0.6284905688231268,0.7394006692036786,0.9242508365045983,1.109101003805518,0.23,0.1,0.1,0.02,0.0,0.0,39.2,44.1,49.0,34.3,34.0,29.4,24.0,18.0,20.0
Brain Tease,Influence Mobile,Android,United States,2025-08-09 00:00:00,76.0,76.0,81.43621159573928,101.79526449467409,1.3394113749299221,1.4733525124229145,1.741234787408899,2.0091170623948833,2.2769993373808677,2.6788227498598443,3.348528437324805,4.018234124789767,0.26,0.14,0.17,0.0,0.0,0.0,27.200000000000003,30.6,34.0,23.799999999999997,24.0,20.4,20.0,14.0,15.0
Brain Tease,Influence Mobile,Android,United States,2025-09-09 00:00:00,48.0,49.0,40.03645015240054,50.045562690500674,1.0213380140918504,1.1234718155010355,1.3277394183194056,1.5320070211377756,1.7362746239561457,2.042676028183701,2.553345035229626,3.0640140422755513,0.17,0.15,0.13,0.0,0.0,0.0,20.0,22.5,25.0,17.5,29.0,15.0,28.0,29.0,17.0
Brain Tease,Influence Mobile,Android,United States,2025-10-09 00:00:00,59.0,58.0,53.34548113168381,66.68185141460476,1.1496870933552545,1.2646558026907802,1.494593221361831,1.724530640032882,1.9544680587039327,2.299374186710509,2.8742177333881362,3.449061280065764,0.2,0.14,0.08,0.0,0.0,0.0,24.0,27.0,30.0,21.0,18.0,18.0,21.0,18.0,21.0
